filename,brightness,contrast,dark_percentage,is_dark,low_contrast
train_0001.png,85.68299627551558,40.793494710817676,20.616807189140456,False,False
train_0002.png,85.28883382628406,40.65344063364728,21.166221704655065,False,False
train_0003.png,86.3950973247065,40.80252341457111,21.134740419638383,False,False
train_0004.png,99.18122811742526,23.909946887768285,3.622407756531107,False,False
train_0005.png,117.76512598251324,39.55465422772502,7.992893521821162,False,False
train_0006.png,79.83844632833231,53.66803332513092,34.910146170958015,False,False
train_0007.png,77.4934972490314,44.06294765233869,33.115554784541544,False,False
train_0008.png,77.8150216457743,43.48765834359235,31.6683415338074,False,False
train_0009.png,87.07501276338995,38.98901078702285,21.25455420959807,False,False
train_0010.png,83.22455726987054,47.314298659633266,29.42933733943437,False,False
train_0011.png,56.39984791639583,36.21875256466699,49.72382584336826,False,False
train_0012.png,63.50858224406876,41.12888309662109,40.959316943049906,False,False
train_0013.png,131.76985470778288,61.78435279666401,10.62334272195604,False,False
train_0014.png,67.30236021296996,48.07346206202172,43.79468168558559,False,False
train_0015.png,119.71529369849883,99.83765144276303,39.240667918854946,False,False
train_0016.png,106.34031790931395,55.43492380909442,20.57418940503197,False,False
train_0017.png,110.70052495347403,48.01942655976346,10.342360961319482,False,False
train_0018.png,110.43045852679393,49.985093806535616,6.454208095326995,False,False
train_0019.png,138.07275605003207,61.47846651433228,5.313115639270907,False,False
train_0020.png,99.91821027792615,59.62910124745978,19.32212442813683,False,False
train_0021.png,123.12254821139462,62.63692446459535,6.421051613340083,False,False
train_0022.png,98.62556195707334,51.257132197785054,20.613053125963958,False,False
train_0023.png,104.44523581198085,52.84828032087406,16.88540465051717,False,False
train_0024.png,133.53577354756922,35.83194386608839,1.7623960340936027,False,False
train_0025.png,106.47978287531228,67.90157541103575,26.711151487622075,False,False
train_0026.png,109.19077967087979,59.05690456026191,23.382681396921022,False,False
train_0027.png,112.82014673463765,41.02083303754461,6.232777624689997,False,False
train_0028.png,78.90072764333625,33.10343647673464,23.099940745656657,False,False
train_0029.png,92.96374505387145,39.172802916363054,11.400483256134475,False,False
train_0030.png,138.30378989654227,46.62933175565386,4.608217731646152,False,False
train_0031.png,113.00505294483997,60.64330554519952,17.633263045295386,False,False
train_0032.png,82.09969260301962,56.23432060575591,37.79627704319764,False,False
train_0033.png,164.1523365558822,61.18105678947977,4.129872592981313,False,False
train_0034.png,138.57948828586666,54.91325661767316,9.519652071142373,False,False
train_0035.png,138.72883626675866,57.64907261935066,12.791038961114143,False,False
train_0036.png,111.1346415549999,75.70909584541313,32.90975151151731,False,False
train_0037.png,82.17850758346533,64.90574234658688,42.88416122373045,False,False
train_0038.png,81.98400469468898,67.30834162131227,46.123281846161014,False,False
train_0039.png,94.63581102985836,68.49627335321858,35.12539244545147,False,False
train_0040.png,78.37550556570493,51.87093451399474,35.54866808318538,False,False
train_0041.png,71.45740752154592,53.116771125984094,44.704627564548964,False,False
train_0042.png,70.75842551157423,62.016097466372486,51.31863525760666,False,False
train_0043.png,111.85222551766451,35.61362710219551,4.240167457465782,False,False
train_0044.png,92.61920007761528,53.66796828275043,26.938320114482522,False,False
train_0045.png,101.31326633586906,68.20224930602521,32.447459198151144,False,False
train_0046.png,100.06158367587031,71.14600197792274,35.25878346011454,False,False
train_0047.png,125.69974886194667,64.6866772268933,18.152051453723647,False,False
train_0048.png,102.73286313210032,62.090607208952285,26.77021429107246,False,False
train_0049.png,84.8916855937588,60.37986301726602,39.98945822218536,False,False
train_0050.png,88.49527890066892,61.80311065306273,40.62903382268493,False,False
train_0051.png,82.0206548062108,58.2677941341102,36.44941379760876,False,False
train_0052.png,66.64425197685425,55.306800907213,54.157288666411695,False,False
train_0053.png,53.4723163541722,50.48460469348775,67.70329845434748,True,False
train_0054.png,87.73702003398837,37.45354965086584,12.868438689293665,False,False
train_0055.png,97.02218481927456,37.08152539326115,7.882496385105187,False,False
train_0056.png,115.32502467917078,59.94259706327004,19.88864236867912,False,False
